area_name,current_median_sqft,price_change_12m,price_change_36m,transaction_count_12m,supply_pipeline
Al Barsha South Fourth,15874.82,19.0,71.0,21842,37229
Business Bay,27293.06,12.7,27.3,13601,25361
Wadi Al Safa 5,15649.45,18.5,85.7,13530,18337
Madinat Al Mataar,14560.44,-4.8,100.3,11212,30065
Marsa Dubai,19846.9,-0.5,9.3,9583,13503
Jabal Ali First,17019.13,33.9,56.1,7783,15585
Me'Aisem First,14318.44,13.6,77.4,6613,6789
Hadaeq Sheikh Mohammed Bin Rashid,24075.83,-0.5,28.4,6450,12302
Al Hebiah First,18189.29,-9.1,172.4,6409,9667
Al Thanyah Fifth,18147.34,-6.8,86.7,5770,13384
Burj Khalifa,28326.0,15.6,32.4,5695,5558
Al Barsha South Fifth,17547.65,16.7,72.9,5693,12264
Al Barshaa South Second,18375.72,12.3,112.0,5630,9843
Wadi Al Safa 3,14021.13,2.0,2.5,5347,11140
Madinat Dubai Almelaheyah,33124.6,26.9,93.4,5210,14321
Al Merkadh,21115.36,3.6,10.1,5098,6104
Al Khairan First,26452.51,1.6,42.3,4930,7375
Al Hebiah Fourth,12971.19,24.6,85.1,4823,8104
Nadd Hessa,13411.76,36.8,95.8,4746,4096
Dubai Investment Park Second,15779.47,-8.2,225.4,4701,6165
Bukadra,26371.56,2.1,,4691,10572
Al Barshaa South Third,15151.52,9.1,24.2,4495,12338
Al Yelayiss 2,13801.04,18.7,64.6,4177,5004
Palm Deira,26999.25,20.4,284.8,4010,9198
Al Jadaf,21035.0,26.4,85.6,3180,4610
Al Yufrah 1,16193.94,18.7,83.3,3097,0
Wadi Al Safa 7,12467.45,18.0,42.5,2958,484
Wadi Al Safa 4,20204.49,6.3,,2498,14611
Al Hebiah Third,16553.18,32.8,51.1,2498,2557
Al Warsan First,6724.88,7.2,34.8,2398,3287
Wadi Al Safa 2,14143.87,55.4,187.2,2324,3715
Al Wasl,32761.16,24.8,46.9,2300,4797
Palm Jumeirah,24833.22,7.9,-22.7,2170,2980
