developer_name,english_name,common_aliases,projects_total,projects_completed,projects_active,total_units,avg_completion_percent,completion_rate
قرية جميرا (ش.ذ.م.م),Nakheel,"JVC Master Developer,Jumeirah Village Circle",364,205,159,70868,69.43131868131869,56.3
شركة نخيل (ش.م.خ),Nakheel,"Nakheel PJSC,Nakheel Properties",319,99,220,53571,39.59561128526646,31.0
الخليج التجاري (ش.ذ.م.م),Meraas,"Business Bay Master Developer",113,66,47,48180,70.40707964601769,58.4
اعمار العقارية (ش . م. ع),Emaar,"Emaar Properties,EMAAR",154,128,26,43301,90.48684210526316,83.1
ليوان(ش.ذ.م.م.),MAG,"MAG Property Development,Liwan",125,46,79,27976,53.384,36.8
مؤسسه مدينه دبى للطيران,Dubai South Properties,"Dubai Aviation City,Dubai World Central",92,17,75,27318,28.66304347826087,18.5
شوبا ش.ذ.م.م,Sobha,"Sobha Realty,Sobha Group,SOBHA",40,19,21,26295,61.525,47.5
مركز دبي للسلع المتعددة,DMCC,"Dubai Multi Commodities Centre",55,38,17,25726,79.56363636363636,69.1
مجموعة ميدان (ش.ذ.م.م),Meydan,"Meydan Group,Meydan City",169,90,79,25176,60.84615384615385,53.3
دبي لاند ريزيدنسز (ش.ذ.م.م),Dubai Holding,"Dubailand Residences",92,23,69,21164,33.08695652173913,25.0
مدينة دبي الرياضية (ش. ذ. م. م),Dubai Holding,"Dubai Sports City,DSC",86,59,27,20882,77.3953488372093,68.6
تيكوم للإستثمارات منطقة حرة- ذ.م.م,TECOM,"TECOM Investments,TECOM Group",56,45,11,20343,90.46296296296296,80.4
دى اتش ايه ام منطقه حره - ذ.م.م,Dubai Holding,"DHAM,Dubai Holding Asset Management",55,2,53,20162,13.018181818181818,3.6
دبي هيلز استيت ش.ذ.م.م,Emaar,"Dubai Hills Estate,DHE",66,32,34,18141,65.83333333333333,48.5
دبي للعقارات (ش.ذ.م.م),Dubai Properties,"DP,Dubai Properties Group",117,76,41,17997,70.88034188034187,65.0
رمرام ش.ذ.م.م,Dubai Properties,"Remraam",56,54,2,16390,99.63636363636364,96.4
مراس العقارية (ش.ذ.م.م),Meraas,"Meraas Holding,Meraas Development",90,22,68,16315,37.65555555555556,24.4
سلطة دبي للمناطق الإقتصادية المتكاملة,DIAC,"Dubai Silicon Oasis,DSO,DIAC",72,59,13,14956,85.26388888888889,81.9
الفرجان ( ش.ذ.م.م ),Nakheel,"Al Furjan,Al Furjan Master Developer",83,44,39,11553,64.07228915662651,53.0
إعمار للتطوير (مساهمة عامة),Emaar,"Emaar Development",79,24,55,11221,48.49367088607595,30.4
ذي لاجونز المرحلة الاولى ش.ذ.م.م,Emaar,"The Lagoons,Dubai Creek Lagoons",21,18,3,10493,93.76190476190476,85.7
مدينة دبي الملاحية م م ح,Meraas,"Dubai Maritime City,DMC",25,1,24,10414,17.32,4.0
الاتحاد العقارية (شركة مساهمة عامة),Union Properties,"UP,Union Properties PJSC",18,6,12,10341,36.72222222222222,33.3
الياس و مصطفى كلداري لإدارة الاستثمار و التطوير (ش.ذ.م.م),Kaldari Group,"Elias & Mustafa Kaldari",10,0,10,9386,7.5,0.0
دبي كريك هاربور ش.ذ.م.م,Emaar,"Dubai Creek Harbour,DCH",24,10,14,7988,52.875,41.7
دبي لاند (ش.ذ.م.م),Dubai Holding,"Dubailand",36,13,23,7659,48.22222222222222,36.1
