developer_name,projects_total,projects_completed,projects_active,total_units,avg_completion_percent,completion_rate,avg_duration_months,avg_delay_months
قرية جميرا (ش.ذ.م.م),364,205,159,70868,69.4,56.3,31.0,0
شركة نخيل (ش.م.خ),319,99,220,53571,39.6,31.0,31.7,0
الخليج التجاري (ش.ذ.م.م),113,66,47,48180,70.4,58.4,52.2,0
اعمار العقارية (ش . م. ع),154,128,26,43301,90.5,83.1,47.2,0
ليوان(ش.ذ.م.م.),125,46,79,27976,53.4,36.8,26.2,0
مؤسسه مدينه دبى للطيران,92,17,75,27318,28.7,18.5,26.8,0
شوبا ش.ذ.م.م,40,19,21,26295,61.5,47.5,35.4,0
مركز دبي للسلع المتعددة,55,38,17,25726,79.6,69.1,38.7,0
مجموعة ميدان (ش.ذ.م.م),169,90,79,25176,60.8,53.3,40.1,0
دبي لاند ريزيدنسز (ش.ذ.م.م),92,23,69,21164,33.1,25.0,35.1,0
مدينة دبي الرياضية (ش. ذ. م. م),86,59,27,20882,77.4,68.6,52.5,0
تيكوم للإستثمارات منطقة حرة- ذ.م.م,56,45,11,20343,90.5,80.4,35.2,0
دى اتش ايه ام منطقه حره - ذ.م.م,55,2,53,20162,13.0,3.6,26.1,0
دبي هيلز استيت ش.ذ.م.م,66,32,34,18141,65.8,48.5,38.7,0
دبي للعقارات (ش.ذ.م.م),117,76,41,17997,70.9,65.0,42.0,0
رمرام ش.ذ.م.م,56,54,2,16390,99.6,96.4,66.3,0
مراس العقارية (ش.ذ.م.م),90,22,68,16315,37.7,24.4,30.8,0
سلطة دبي للمناطق الإقتصادية المتكاملة,72,59,13,14956,85.3,81.9,42.1,0
الفرجان ( ش.ذ.م.م ),83,44,39,11553,64.1,53.0,27.6,0
إعمار للتطوير (مساهمة عامة),79,24,55,11221,48.5,30.4,40.7,0
ذي لاجونز المرحلة الاولى ش.ذ.م.م,21,18,3,10493,93.8,85.7,58.4,0
مدينة دبي الملاحية م م ح,25,1,24,10414,17.3,4.0,30.2,0
الاتحاد العقارية (شركة مساهمة عامة),18,6,12,10341,36.7,33.3,32.7,0
الياس و مصطفى كلداري لإدارة الاستثمار و التطوير (ش.ذ.م.م),10,0,10,9386,7.5,0.0,26.9,0
دبي كريك هاربور ش.ذ.م.م,24,10,14,7988,52.9,41.7,37.7,0
دبي لاند (ش.ذ.م.م),36,13,23,7659,48.2,36.1,49.2,0
نشاما للعقارات لمالكها نشمي ديفلوبمنت شركة الشخص الواحد ش.ذ.م.م,36,11,25,7244,38.3,30.6,21.3,0
داماك كريسنت للعقارات (ش.ذ.م.م),50,38,12,6848,80.8,76.0,47.7,0
داماك ميري للاستثمار ش.ذ.م.م,14,0,14,6165,0.0,0.0,42.4,0
مدينه دبى الطبيه منطقه حرة - ذ.م.م.,18,8,10,5656,57.9,44.4,36.1,0
شركة تطوير مجمع دبي للاستثمار (ذ. م. م),17,5,12,5117,50.4,29.4,39.0,0
انترناشونال سيتي ( ش.ذ.م.م ),41,19,22,4991,55.9,46.3,31.8,0
ميناء راشد العقارية ش.ذ.م.م,20,1,19,4442,14.0,5.0,34.4,0
